net,length_um
_3174_,64.94µm
_2312_,64.85µm
net455,64.79µm
net341,64.78µm
net250,64.6µm
_2302_,64.4µm
net405,64.28µm
_2830_,63.88µm
net72,63.52µm
_2181_,63.28µm
_0923_,63.26µm
_1967_,63.17µm
_2159_,63.14µm
_1993_,63.12µm
_1154_,62.78µm
_1260_,62.78µm
_2439_,62.72µm
_1843_,62.54µm
_0358_,62.48µm
_0117_,62.4µm
_2826_,62.1µm
_1381_,62.08µm
net491,62.04µm
net68,61.84µm
net345,61.82µm
_2301_,61.48µm
_2132_,61.38µm
net449,61.38µm
net436,61.16µm
_1092_,60.88µm
_0124_,60.59µm
net237,60.44µm
net302,60.36µm
_2355_,60.34µm
_2224_,60.32µm
net393,60.08µm
net226,59.9µm
_2117_,59.5µm
_2317_,59.46µm
net738,59.4µm
_1868_,59.32µm
_0439_,59.3µm
_1979_,59.12µm
_3190_,59.1µm
net597,58.87µm
_1988_,58.84µm
_1444_,58.6µm
_0123_,58.58µm
_2218_,58.58µm
_2509_,58.54µm
net390,58.48µm
_2014_,58.24µm
_2244_,58.2µm
_2357_,58.04µm
_2247_,57.84µm
net92,57.64µm
_3305_,57.5µm
_2157_,57.41µm
_2182_,57.21µm
_3212_,56.9µm
_2251_,56.82µm
_2000_,56.68µm
_2493_,56.67µm
_0100_,56.58µm
_1133_,56.32µm
_1914_,56.24µm
_2698_,56.12µm
_2231_,55.96µm
_2476_,55.88µm
net168,55.88µm
_2549_,55.62µm
net56,55.6µm
net98,55.5µm
_1981_,55.36µm
net313,55.27µm
_1618_,55.095µm
_0079_,54.96µm
_0228_,54.9µm
net498,54.8µm
_2718_,54.5µm
net691,54.46µm
net190,54.42µm
_2101_,54.32µm
_3234_,54.18µm
_1709_,54.12µm
_1210_,54.02µm
_0939_,53.92µm
_1849_,53.72µm
_2360_,53.72µm
_3239_,53.69µm
_2457_,53.65µm
_2551_,53.265µm
net483,53.14µm
_2307_,53.08µm
net100,53.04µm
_1426_,53µm
_2710_,53µm
_2528_,52.96µm
_1200_,52.87µm
_0275_,52.76µm
_2007_,52.74µm
