net,length_um
_0059_,25.24
_0806_,25.22
_1001_,25.22
net58,25.22
_1315_,25.2
_2216_,25.2
_0356_,25.18
_1728_,25.18
_2839_,25.18
_1983_,25.14
_0048_,25.1
_1570_,25.1
_2184_,25.1
_2323_,25.1
_1948_,25.02
_3550_,25
_2916_,24.98
_0026_,24.94
_0883_,24.94
_1934_,24.94
_2012_,24.94
_1365_,24.925
_0129_,24.9
_0605_,24.9
_2589_,24.88
_1548_,24.84
_0907_,24.8
_3838_,24.76
_0985_,24.74
_3013_,24.72
_3827_,24.71
_2286_,24.7
_2451_,24.7
_0483_,24.68
_2285_,24.66
_0543_,24.64
_0857_,24.58
_0060_,24.56
_0696_,24.54
_0628_,24.52
_1425_,24.48
_3042_,24.42
_0359_,24.36
_1267_,24.35
_0566_,24.34
_2113_,24.34
_3611_,24.34
_2127_,24.33
_1614_,24.32
_1493_,24.3
_2556_,24.3
_0316_,24.28
_2019_,24.28
_0003_,24.26
_2615_,24.26
_2800_,24.26
_3494_,24.24
net67,24.2
_1422_,24.19
_2148_,24.18
_0805_,24.14
_1445_,24.14
_2978_,24.12
_1054_,24.1
_3724_,24.1
_0698_,24.08
_1518_,23.98
_0090_,23.965
_0753_,23.94
_3014_,23.94
_3828_,23.94
_0091_,23.92
_0532_,23.92
_3160_,23.92
_3789_,23.92
_1186_,23.88
_1158_,23.86
_3565_,23.86
_3156_,23.84
_0510_,23.83
_2413_,23.76
_2854_,23.74
_2240_,23.69
_2848_,23.68
_2357_,23.64
net96,23.64
_3170_,23.6
_0248_,23.54
_0702_,23.54
_2849_,23.54
_3569_,23.52
_0355_,23.48
_0351_,23.46
_3161_,23.46
_2748_,23.45
_0074_,23.445
_0580_,23.42
_1581_,23.42
_3103_,23.42
_0630_,23.38
_1923_,23.28
_0478_,23.26
_3654_,23.24
_3673_,23.22
_0163_,23.18
_1833_,23.14
_2408_,23.14
_1963_,23.12
_0535_,23.08
_3476_,23.08
_0790_,23.07
_2915_,23.04
_0241_,22.96
_1321_,22.96
_0512_,22.92
_1976_,22.92
_0440_,22.9
_2303_,22.88
_2600_,22.88
_1649_,22.86
_2444_,22.82
_3055_,22.8
_1726_,22.74
_1535_,22.72
_0173_,22.7
_0254_,22.66
_3011_,22.64
_1792_,22.58
_0068_,22.575
_0485_,22.52
_2568_,22.52
_1198_,22.5
